id,celebrate,main,main_prep,stuff,cran,gravy,bruss,carr,caul,corn,cornb,fruit,gbean,mac,mash,roll,sqsh,veg,yams,side_oth,pie_apple,pie_buttermilk,pie_cherry,pie_chocolate,pie_coconut,pie_key,pie_peach,pie_pecan,pie_pumpkin,pie_yam,pie_none,pie_oth,dssrt_apple,dssrt_blond,dssrt_brown,dssrt_carr,dssrt_cheese,dssrt_cookie,dssrt_fudge,dssrt_ic,dssrt_peach,dssrt_none,dssrt_oth,travel,macy,kids_table,meet_up,friendsgiving,blck_fri,retail,work,environ,age,gender,total_hh_income,region
4337899817,1,Turkey and Ham,Baked,Bread-based,Both Canned and Homemade,1,1,1,0,0,0,0,1,0,1,1,0,0,1,,0,1,0,0,0,0,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,1,,Thanksgiving is happening at my home--I won't travel at all,1,10 or younger,0,0,0,1,1,Suburban,30 - 44,Male,"$25,000 to $49,999",East South Central
4336977349,1,Turkey,Roasted,Bread-based,Both Canned and Homemade,1,0,0,0,0,0,0,1,0,1,1,0,0,1,,0,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,1,,Thanksgiving is local--it will take place in the town I live in,0,21 or older,1,0,0,0,0,Suburban,30 - 44,Female,"$25,000 to $49,999",Middle Atlantic
4336301847,1,Turkey,Roasted,Bread-based,Both canned and homemade,1,0,0,0,0,0,0,1,0,1,1,0,0,1,,0,0,0,0,0,0,0,1,1,0,0,Mincemeat,0,0,0,0,0,0,0,0,0,1,,Thanksgiving is out of town and far away--I have to drive several hours or fly,0,21 or older,1,1,0,0,0,Urban,45 - 59,Male,"$50,000 to $74,999",East North Central
4335967669,1,Turkey,Roasted,Bread-based,both canned and homemade,1,0,0,0,0,0,0,1,0,1,1,0,0,0,cheeseball,1,0,0,0,0,0,1,0,1,0,0,berry,0,0,0,0,0,0,0,0,0,1,,Thanksgiving is happening at my home--I won't travel at all,1,10 or younger,0,0,0,0,0,Suburban,18 - 29,Male,Prefer not to answer,Pacific
4336366345,1,Turkey,store smoked,Cornbread of course...  ,Canned,0,1,0,0,0,1,0,0,0,1,1,0,0,0,green peas with pearl onion,1,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,1,0,0,0,0,0,,Thanksgiving is happening at my home--I won't travel at all,0,21 or older,0,0,0,0,0,Suburban,60+,Female,"$100,000 to $124,999",South Atlantic
4335965542,1,Turkey,Barbecue,Bread-based,canned and homemade,1,0,0,0,0,0,0,1,0,0,1,0,1,1,,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,Some sort of chocolate dessert,Thanksgiving is happening at my home--I won't travel at all,1,14,1,0,0,0,0,Suburban,45 - 59,Female,"$100,000 to $124,999",Pacific
4337008702,1,Turkey,Roasted,Bread-based,Canned and homemade,1,0,0,0,0,0,0,0,0,1,1,0,0,0,Broccoli,1,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,Thanksgiving is local--it will take place in the town I live in,0,21 or older,1,0,0,0,0,Suburban,18 - 29,Female,"$200,000 and up",New England
4336949659,1,Turkey,Baked,Bread-based,canned with added ingredients ,1,0,0,0,1,1,0,1,1,1,1,0,0,1,,1,0,0,0,0,0,0,0,1,0,0,,0,0,1,0,1,0,0,1,0,0,whipped cream,Thanksgiving is local--it will take place in the town I live in,0,15,1,0,0,0,0,Urban,30 - 44,Female,"$25,000 to $49,999",Middle Atlantic
4336857530,1,Turkey,Roasted,None,cdsb,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,,Thanksgiving is happening at my home--I won't travel at all,0,11,0,0,0,0,0,Rural,30 - 44,Female,Prefer not to answer,East North Central
4336902332,1,Turkey,Fried,Bread-based,cranberries,1,1,0,1,1,0,1,1,0,1,1,0,1,1,,1,0,0,0,0,0,0,0,1,0,0,peanut butter,0,0,0,0,0,0,0,0,0,0,,Thanksgiving is happening at my home--I won't travel at all,1,10 or younger,0,0,0,1,0,Suburban,45 - 59,Female,"$75,000 to $99,999",Middle Atlantic
4336860498,1,Turkey,Roasted,Bread-based,Cranberry Salad,1,0,0,0,1,0,0,1,1,0,1,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,1,10 or younger,1,0,0,0,0,Rural,60+,Male,"$25,000 to $49,999",South Atlantic
4337164060,1,Turkey,Baked,Bread-based,Fresh cranberry/orange salad!,1,0,0,0,0,0,0,0,0,1,1,1,0,1,fresh green peas,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,1,,Thanksgiving is happening at my home--I won't travel at all,0,10 or younger,1,0,0,0,0,Suburban,60+,Female,"$100,000 to $124,999",East North Central
4336121663,1,Tofurkey,Baked,Rice-based,freshly made at a deli counter,1,0,0,0,0,0,0,1,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,Pumpkin pie,Thanksgiving is happening at my home--I won't travel at all,0,10 or younger,0,1,0,0,0,Urban,30 - 44,Female,"$25,000 to $49,999",Pacific
4337083360,1,Turkey,Roasted,Bread-based,home made and canned,1,0,0,0,0,0,0,1,0,1,0,0,1,0,,1,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,1,,Thanksgiving is happening at my home--I won't travel at all,1,21 or older,0,1,1,0,0,Suburban,60+,Female,"$50,000 to $74,999",Mountain
4337032009,1,Turkey and Ham,Baked,None,Homemade and canned,1,0,0,0,1,0,0,1,0,1,1,0,0,1,Asparagus,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,1,,Thanksgiving is local--it will take place in the town I live in,0,10 or younger,0,0,0,0,0,Rural,60+,Male,"$200,000 and up",East North Central
4337951949,1,Turkey,Baked,Bread-based,Homemade cranberry gelatin ring,1,0,0,0,1,0,0,1,1,1,1,0,1,1,Asian vinagrette salad,1,0,0,1,0,0,0,0,1,0,0,"Derby, Japanese fruit",0,0,0,0,1,0,0,0,0,0,"Jelly roll, sweet cheeseball, chocolate dipped berries",Thanksgiving is out of town but not too far--it's a drive of a few hours or less,0,19,0,0,1,0,0,Rural,18 - 29,Female,"$50,000 to $74,999",East South Central
4336101470,1,Turkey,Baked,Bread-based,Jar,1,0,1,0,1,0,0,0,0,1,0,0,1,1,,1,0,0,0,0,1,0,1,1,0,0,,0,0,0,0,1,0,0,0,0,0,,Thanksgiving is local--it will take place in the town I live in,0,10 or younger,1,1,0,0,0,Urban,45 - 59,Female,"$175,000 to $199,999",Pacific
4336465104,1,Ham/Pork,Baked,Bread-based,Publix deli brand orange-cran spread,1,0,1,0,1,0,0,1,1,1,1,1,0,1,,0,0,0,1,0,0,0,1,1,0,0,,0,0,1,0,1,0,0,0,0,0,,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,1,19,1,0,1,0,0,Suburban,30 - 44,Female,"$75,000 to $99,999",South Atlantic
4336807635,1,Turkey,Roasted,gluten free,Publix Supermarket brand(fresh),1,1,0,0,0,0,0,1,1,1,1,0,0,0,,1,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,,Thanksgiving is happening at my home--I won't travel at all,1,21 or older,1,0,0,0,0,Suburban,60+,Male,"$75,000 to $99,999",South Atlantic
4336368343,1,Turkey,Roasted,Bread-based,"Relish, Sauce, cooked whole",1,0,0,0,1,0,1,0,0,1,1,1,0,1,,1,0,1,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,Thanksgiving is happening at my home--I won't travel at all,1,21 or older,0,0,0,0,0,Rural,45 - 59,Male,"$10,000 to $24,999",Middle Atlantic
